animal_id,start_date,end_date,test_days,start_weight_g,end_weight_g,total_feed_g,AGE,ADG_g_lm,ADG_r2,ADG_pval,ADFI_g_lm,ADFI_r2,ADFI_pval,FCR_lm
ID129,2025-09-12,2025-12-26,106,30000,115150,231726,,868.610474343149,0.989892370066754,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000136870207968592,2216.99782855128,0.972029314004743,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000133962750622092,2.5523498668696
ID134,2025-09-17,2025-12-21,96,37700,117800,173090,,951.254747693976,0.988099285113084,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002942386615546,1756.04877916441,0.927283245296228,0.000000000000000000000000000000000000000000000000000000267350998147376,1.84603418108704
ID139,2025-09-12,2025-12-26,106,29700,129150,319438,,1044.15920017999,0.997161591450485,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000535094494679527,3312.1692559476,0.990673230832626,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000217581249640146,3.17209220143506
ID142,2025-09-17,2025-12-22,97,38400,138600,235184,,1123.30041552704,0.990236708420469,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000262932390378692,2434.21865137808,0.940538891260731,0.00000000000000000000000000000000000000000000000000000000000502379671957391,2.16702372555963
ID143,2025-09-12,2025-12-21,101,,121200,268388,,1052.04093008441,0.997149331659663,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000469633670544891,2835.73603510308,0.986006179733781,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000114576619414524,2.69546170116742
ID148,2025-09-13,2025-12-26,105,27900,114200,224990,,897.246788561948,0.983947848066459,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000241111403452066,2222.60174876053,0.961898803066043,0.0000000000000000000000000000000000000000000000000000000000000000000000000340969215591678,2.47713536241548
ID149,2025-09-19,2025-12-22,95,44500,125800,336030.5,,937.938288920056,0.997844327578201,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000397832837534409,3620.83936170213,0.996773658717943,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000118099284627168,3.86042387273812
ID155,2025-09-12,2025-12-24,104,30200,117000,295842,,947.700976208258,0.994289888034938,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306669710219504,2989.4912674704,0.994455968336425,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000680566065369801,3.15446680178733
ID158,2025-09-17,2025-12-22,97,34533.3333333333,115800,158346,,933.560713962742,0.992281865761573,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000425547278192445,1603.37414527667,0.878261676122498,0.00000000000000000000000000000000000000000000314269750622087,1.71748245325227
ID159,2025-09-17,2025-12-21,96,44350,130250,193973,,1023.7713646229,0.98825310370828,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000159632234208112,1975.45222463375,0.930706634204967,0.0000000000000000000000000000000000000000000000000000000276685503797115,1.92958339419993
ID160,2025-09-16,2025-12-26,102,29200,114950,236977,,936.880024737168,0.9955951210688,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000435684350327772,2505.61687522265,0.98956343838395,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000677578633059329,2.6744266171387
ID161,2025-09-12,2025-12-26,106,28737.5,122800,272261,,976.92578130813,0.996227188424869,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000033196904912467,2766.97027011163,0.991819477384375,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000313253783124633,2.83232393192303
ID163,2025-09-17,2025-12-21,96,38200,118100,175348,,967.036867523944,0.989149838760255,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000355835401005491,1823.65926105002,0.930115906890674,0.000000000000000000000000000000000000000000000000000000156860036134306,1.88582185673999
ID164,2025-09-17,2025-12-24,99,39125,111650,206861,,902.70859223216,0.963028101810835,0.00000000000000000000000000000000000000000000000000000000000000000000409449462032313,2303.79185956453,0.975587118917768,0.0000000000000000000000000000000000000000000000000000000000000000000000000000137268102650004,2.55208810394488
ID166,2025-09-12,2025-12-25,105,28000,120400,275647,,967.023494192985,0.986327758863924,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000671942684102499,2734.6608523505,0.976267720836102,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000110662757986797,2.82791562849532
ID168,2025-09-12,2025-12-24,104,27425,108200,228891,,888.873893097194,0.993439057229489,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000365810428100717,2344.17388242825,0.981174295837444,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000818342469614802,2.63724010867302
ID172,2025-09-12,2025-12-24,104,30500,123600,317852,,984.813293502615,0.997248458015044,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000206797688389263,3195.99323055585,0.994925148756493,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000074859717870004,3.24527831990254
ID174,2025-09-17,2025-12-22,97,29500,107850,149038,,922.985430344084,0.990766241774534,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000233139211916705,1410.15034288692,0.879508213715351,0.00000000000000000000000000000000000000000000557806220656995,1.5278143040256
ID177,2025-09-12,2025-12-22,102,,114100,248077,,972.001679731243,0.996884288803524,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000233133162187404,2672.79150308331,0.987509954810025,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000436043653339193,2.74978074505214
ID180,2025-09-17,2025-12-21,96,36750,123950,191169,,1031.14362904684,0.989409054425809,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001225793655728,1976.33825963104,0.929146305391336,0.0000000000000000000000000000000000000000000000000000000788628205460359,1.91664691897277
ID181,2025-09-15,2025-12-24,101,27900,110200,232707,,889.549796156086,0.992422427860809,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000873742795770352,2377.00016307513,0.97758530039047,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000181647573896704,2.67213839331604
ID183,2025-09-19,2025-12-22,95,32400,114000,300122,,954.074048152295,0.960216424968734,0.000000000000000000000000000000000000000000000000000000000000000000647715680515833,3274.01779115342,0.995955964836884,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000430810667886079,3.43161811967743
ID184,2025-09-17,2025-12-24,99,38050,117200,264556,,994.706486447056,0.976217182728774,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000944997643658374,2884.01357079032,0.982371332023746,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000539500777509694,2.89936137954784
ID187,2025-09-14,2025-12-26,104,42500,111350,262969,,866.704374057315,0.926805811981546,0.0000000000000000000000000000000000000000000000000000000000372345254641222,2680.64420142964,0.98016772825811,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000116637064850448,3.09291643340936
ID191,2025-09-12,2025-12-26,106,29300,111900,223235,,851.547849963473,0.98052973633466,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000878826270667782,2170.81736655163,0.96264589643572,0.000000000000000000000000000000000000000000000000000000000000000000000000000459282472401248,2.54926058077035
ID192,2025-09-19,2025-12-22,95,36150,117300,300838,,961.818083300219,0.99773021327381,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000197088524894448,3343.37007278835,0.999148558528626,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000147540213072326,3.47609400450913
ID193,2025-09-19,2025-12-24,97,35400,121875,311262,,946.239843093304,0.990839580320785,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000140459778295538,3426.27701575533,0.997359899419036,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105304051106898,3.6209392795749
ID196,2025-09-17,2025-12-24,99,29550,114400,232043,,994.493335646683,0.985002446606633,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000857759440377711,2526.88913652157,0.976003692371926,0.0000000000000000000000000000000000000000000000000000000000000000000000000000396651102539614,2.54088091488157
