animal_id,record_date,daily_feed_g,daily_weight_g,age_day,visits_n,visits_n_valid,total_duration_sec,location,n_outlier_wt,n_outlier_feed,has_feed_out_of_range_today,is_imputed_wt,is_imputed_feed
ID093,2025-11-05,2504,74800,,11,11,3071,92,0,0,FALSE,FALSE,FALSE
ID093,2025-11-06,2315,74350,,8,8,3330,92,0,0,FALSE,FALSE,FALSE
ID093,2025-11-07,3175,74900,,10,10,3722,92,0,0,FALSE,FALSE,FALSE
ID093,2025-11-08,2671,75900,,8,8,3856,92,0,0,FALSE,FALSE,FALSE
ID093,2025-11-09,2268,76700,,10,10,2890,92,0,0,FALSE,FALSE,FALSE
ID093,2025-11-10,2015,76300,,9,9,2966,92,0,0,FALSE,FALSE,FALSE
ID093,2025-11-11,971,76300,,3,0,0,92,0,3,FALSE,FALSE,FALSE
ID093,2025-11-12,2758,75100,,3,3,2156,92,0,0,FALSE,FALSE,FALSE
ID093,2025-11-13,747,76800,,1,0,0,92,0,1,FALSE,FALSE,FALSE
ID093,2025-11-14,2663,78700,,5,5,2910,92,0,0,FALSE,FALSE,FALSE
ID093,2025-11-15,3404,82400,,6,6,3799,92,0,0,FALSE,FALSE,FALSE
ID093,2025-11-16,1836,82600,,5,5,2318,92,0,0,FALSE,FALSE,FALSE
ID093,2025-11-17,3600,83100,,9,9,3944,92,0,0,FALSE,FALSE,FALSE
ID093,2025-11-18,2586,84900,,10,10,2802,92,0,0,FALSE,FALSE,FALSE
ID093,2025-11-19,4058,87100,,9,9,3730,92,0,0,FALSE,FALSE,FALSE
ID093,2025-11-20,1422,85800,,4,0,0,92,0,4,FALSE,FALSE,FALSE
ID093,2025-11-21,3562,87100,,13,13,3383,92,0,0,FALSE,FALSE,FALSE
ID093,2025-11-22,2365,88700,,19,0,0,92,0,19,FALSE,FALSE,FALSE
ID093,2025-11-23,3686,88900,,13,13,3757,92,0,0,FALSE,FALSE,FALSE
ID093,2025-11-24,4164,91200,,17,17,3987,92,0,0,FALSE,FALSE,FALSE
ID093,2025-11-25,3966,92400,,6,6,3763,92,0,0,FALSE,FALSE,FALSE
ID093,2025-11-26,2779,92800,,11,11,2865,92,0,0,FALSE,FALSE,FALSE
ID093,2025-11-27,3824,94950,,10,10,3697,92,0,0,FALSE,FALSE,FALSE
ID093,2025-11-28,3555,96450,,6,6,3548,92,0,0,FALSE,FALSE,FALSE
ID093,2025-11-29,3950,98300,,11,11,3962,92,0,0,FALSE,FALSE,FALSE
ID093,2025-11-30,3320,98400,,6,6,3672,92,0,0,FALSE,FALSE,FALSE
ID093,2025-12-01,4751,100100,,11,0,0,92,0,11,FALSE,FALSE,FALSE
ID093,2025-12-02,4291,101400,,9,9,4078,92,0,0,FALSE,FALSE,FALSE
ID093,2025-12-03,2241,101800,,12,0,0,92,0,12,FALSE,FALSE,FALSE
ID093,2025-12-04,3342,101950,,10,10,3630,92,0,0,FALSE,FALSE,FALSE
ID093,2025-12-05,4101,103300,,11,11,3921,92,0,0,FALSE,FALSE,FALSE
ID093,2025-12-06,3924,102600,,10,10,3707,92,0,0,FALSE,FALSE,FALSE
ID093,2025-12-07,3590,103000,,8,8,3138,92,0,0,FALSE,FALSE,FALSE
ID093,2025-12-08,3346,106400,,7,7,3396,92,0,0,FALSE,FALSE,FALSE
ID093,2025-12-09,3373,106900,,4,4,2984,92,0,0,FALSE,FALSE,FALSE
ID093,2025-12-10,3742,110050,,6,6,3980,92,0,0,FALSE,FALSE,FALSE
ID093,2025-12-11,2748,110600,,6,6,1725,92,0,0,FALSE,FALSE,FALSE
ID093,2025-12-12,2323,112100,,2,2,2116,92,0,0,FALSE,FALSE,FALSE
ID093,2025-12-13,3163,114900,,6,6,3161,92,0,0,FALSE,FALSE,FALSE
ID093,2025-12-14,4100,114650,,4,4,3348,92,0,0,FALSE,FALSE,FALSE
ID093,2025-12-15,4338,115900,,6,0,0,92,0,6,FALSE,FALSE,FALSE
ID093,2025-12-16,4054,115300,,5,5,3661,92,0,0,FALSE,FALSE,FALSE
ID093,2025-12-17,2935,115300,,5,5,3012,92,0,0,FALSE,FALSE,FALSE
ID093,2025-12-18,3204,114000,,3,3,2991,92,0,0,FALSE,FALSE,FALSE
ID093,2025-12-19,1491,112900,,3,0,0,92,0,3,FALSE,FALSE,FALSE
ID093,2025-12-20,1283,111000,,2,0,0,92,0,2,FALSE,FALSE,FALSE
ID093,2025-12-21,2445,112550,,2,2,2247,92,0,0,FALSE,FALSE,FALSE
ID093,2025-12-22,2989,115550,,4,4,2832,92,0,0,FALSE,FALSE,FALSE
ID093,2025-12-23,2972,117150,,4,4,2851,92,0,0,FALSE,FALSE,FALSE
ID093,2025-12-24,4063,119500,,6,6,3854,92,0,0,FALSE,FALSE,FALSE
ID093,2025-12-25,4269,122100,,5,5,3489,92,0,0,FALSE,FALSE,FALSE
ID093,2025-12-26,706,121850,,2,0,0,92,0,2,FALSE,FALSE,FALSE
ID094,2025-09-12,210,26950,,10,0,0,95,0,10,FALSE,FALSE,FALSE
ID094,2025-09-13,1281,29900,,24,24,1996,95,2,0,FALSE,FALSE,FALSE
ID094,2025-09-14,1282,30500,,30,30,1928,95,0,0,FALSE,FALSE,FALSE
ID094,2025-09-15,1443,30200,,33,33,2598,95,0,0,FALSE,FALSE,FALSE
ID094,2025-09-16,1042,31000,,22,22,2332,95,0,0,FALSE,FALSE,FALSE
ID094,2025-09-17,1616,32100,,40,40,3000,95,0,0,FALSE,FALSE,FALSE
ID094,2025-09-18,1714,33300,,36,36,3595,95,0,0,FALSE,FALSE,FALSE
ID094,2025-09-19,830,33800,,23,0,0,95,0,23,FALSE,FALSE,FALSE
ID094,2025-09-20,1275,33900,,27,27,2468,95,0,0,FALSE,FALSE,FALSE
ID094,2025-09-21,1456,34700,,29,29,3492,95,0,0,FALSE,FALSE,FALSE
ID094,2025-09-22,1656,35900,,26,26,3413,95,0,0,FALSE,FALSE,FALSE
ID094,2025-09-23,1762,36600,,24,24,3606,95,0,0,FALSE,FALSE,FALSE
ID094,2025-09-24,1782,36400,,29,29,3497,95,0,0,FALSE,FALSE,FALSE
ID094,2025-09-25,2178,37700,,37,37,3247,95,0,0,FALSE,FALSE,FALSE
ID094,2025-09-26,1851,38400,,24,24,3106,95,0,0,FALSE,FALSE,FALSE
ID094,2025-09-27,1441,40600,,26,26,2406,95,0,0,FALSE,FALSE,FALSE
ID094,2025-09-28,1693,41100,,25,25,2632,95,0,0,FALSE,FALSE,FALSE
ID094,2025-09-29,1457,40900,,16,16,1811,95,0,0,FALSE,FALSE,FALSE
ID094,2025-09-30,1809,42800,,35,35,2782,95,0,0,FALSE,FALSE,FALSE
ID094,2025-10-01,1756,43000,,21,21,2808,95,0,0,FALSE,FALSE,FALSE
ID094,2025-10-02,2562,44000,,41,41,3146,95,0,0,FALSE,FALSE,FALSE
ID094,2025-10-03,2135,44900,,31,31,2959,95,0,0,FALSE,FALSE,FALSE
ID094,2025-10-04,2122,45600,,21,21,2816,95,0,0,FALSE,FALSE,FALSE
ID094,2025-10-05,2667,46200,,46,46,3399,95,0,0,FALSE,FALSE,FALSE
ID094,2025-10-06,2699,48200,,31,31,3092,95,0,0,FALSE,FALSE,FALSE
ID094,2025-10-07,2613,48500,,30,30,3525,95,0,0,FALSE,FALSE,FALSE
ID094,2025-10-08,2527,49100,,25,25,3258,95,0,0,FALSE,FALSE,FALSE
ID094,2025-10-09,2798,50400,,36,36,3367,95,0,0,FALSE,FALSE,FALSE
ID094,2025-10-10,2494,50200,,26,26,3061,95,0,0,FALSE,FALSE,FALSE
ID094,2025-10-11,2564,52200,,26,26,3394,95,0,0,FALSE,FALSE,FALSE
ID094,2025-10-12,2849,52400,,26,26,3833,95,0,0,FALSE,FALSE,FALSE
ID094,2025-10-13,2841,55400,,38,38,3564,95,0,0,FALSE,FALSE,FALSE
ID094,2025-10-14,2609,56000,,24,24,3324,95,0,0,FALSE,FALSE,FALSE
ID094,2025-10-15,2759,56600,,34,34,3494,95,0,0,FALSE,FALSE,FALSE
ID094,2025-10-16,2868,58500,,35,35,3473,95,0,0,FALSE,FALSE,FALSE
ID094,2025-10-17,2867,59100,,16,16,2620,95,0,0,FALSE,FALSE,FALSE
ID094,2025-10-18,1676,59100,,9,9,1847,95,0,0,FALSE,FALSE,FALSE
ID094,2025-10-19,2813,61100,,23,23,3286,95,0,0,FALSE,FALSE,FALSE
ID094,2025-10-20,2249,62700,,19,19,3079,95,0,0,FALSE,FALSE,FALSE
ID094,2025-10-21,3529,64100,,38,38,3823,95,0,0,FALSE,FALSE,FALSE
ID094,2025-10-22,3467,64700,,26,26,3700,95,0,0,FALSE,FALSE,FALSE
ID094,2025-10-23,3007,65500,,33,33,3414,95,0,0,FALSE,FALSE,FALSE
ID094,2025-10-24,3413,66300,,25,25,3391,95,0,0,FALSE,FALSE,FALSE
ID094,2025-10-25,3213,68300,,34,34,3569,95,0,0,FALSE,FALSE,FALSE
ID094,2025-10-26,3483,69300,,33,33,4057,95,0,0,FALSE,FALSE,FALSE
ID094,2025-10-27,4057,69900,,33,33,3336,95,0,0,FALSE,FALSE,FALSE
ID094,2025-10-28,2265,69900,,19,0,0,95,0,19,FALSE,FALSE,FALSE
ID094,2025-10-29,3250,72500,,45,45,3622,95,0,0,FALSE,FALSE,FALSE
ID094,2025-10-30,3210,73600,,25,25,3504,95,0,0,FALSE,FALSE,FALSE
ID094,2025-10-31,3484,74400,,35,35,3408,95,0,0,FALSE,FALSE,FALSE
ID094,2025-11-01,3133,76100,,25,25,3366,95,0,0,FALSE,FALSE,FALSE
ID094,2025-11-02,3923,77100,,34,34,3587,95,0,0,FALSE,FALSE,FALSE
ID094,2025-11-03,3357,77700,,25,25,3499,95,0,0,FALSE,FALSE,FALSE
ID094,2025-11-04,3618,79150,,28,28,3371,95,0,0,FALSE,FALSE,FALSE
ID094,2025-11-05,3496,79650,,40,40,2909,95,0,0,FALSE,FALSE,FALSE
ID094,2025-11-06,3866,80600,,46,46,3525,95,0,0,FALSE,FALSE,FALSE
ID094,2025-11-07,3409,81500,,26,26,3494,95,0,0,FALSE,FALSE,FALSE
ID094,2025-11-08,3101,83600,,29,29,3226,95,0,0,FALSE,FALSE,FALSE
ID094,2025-11-09,4188,84200,,45,45,3681,95,0,0,FALSE,FALSE,FALSE
ID094,2025-11-10,3778,85600,,33,33,3460,95,0,0,FALSE,FALSE,FALSE
ID094,2025-11-11,3323,86600,,51,51,3341,95,0,0,FALSE,FALSE,FALSE
ID094,2025-11-12,2619,89900,,23,23,2517,95,0,0,FALSE,FALSE,FALSE
ID094,2025-11-13,3542,91250,,40,40,2853,95,0,0,FALSE,FALSE,FALSE
ID094,2025-11-14,3625,92400,,32,32,2732,95,0,0,FALSE,FALSE,FALSE
ID094,2025-11-15,3152,92500,,36,36,2630,95,0,0,FALSE,FALSE,FALSE
ID094,2025-11-16,3642,94200,,28,28,3084,95,0,0,FALSE,FALSE,FALSE
ID094,2025-11-17,4810,95400,,46,0,0,95,0,46,FALSE,FALSE,FALSE
ID094,2025-11-18,4169,97200,,48,48,3893,95,0,0,FALSE,FALSE,FALSE
ID094,2025-11-19,3787,94900,,45,45,3052,95,0,0,FALSE,FALSE,FALSE
ID094,2025-11-20,3379,94200,,47,47,3140,95,0,0,FALSE,FALSE,FALSE
ID094,2025-11-21,3782,96100,,47,47,3043,95,0,0,FALSE,FALSE,FALSE
ID094,2025-11-22,3557,96900,,48,48,3365,95,0,0,FALSE,FALSE,FALSE
ID094,2025-11-23,4474,97700,,50,50,3599,95,0,0,FALSE,FALSE,FALSE
ID094,2025-11-24,4066,98800,,36,36,3835,95,0,0,FALSE,FALSE,FALSE
ID094,2025-11-25,3528,99700,,47,47,2761,95,0,0,FALSE,FALSE,FALSE
ID094,2025-11-26,4535,101300,,41,41,4204,95,0,0,FALSE,FALSE,FALSE
ID094,2025-11-27,3577,102950,,32,32,3589,95,0,0,FALSE,FALSE,FALSE
ID094,2025-11-28,3483,102400,,33,33,3111,95,0,0,FALSE,FALSE,FALSE
ID094,2025-11-29,3953,104350,,42,42,3655,95,0,0,FALSE,FALSE,FALSE
ID094,2025-11-30,4677,104300,,48,0,0,95,0,48,FALSE,FALSE,FALSE
ID094,2025-12-01,4000,106900,,33,33,3560,95,0,0,FALSE,FALSE,FALSE
ID094,2025-12-02,4585,108850,,40,40,3937,95,0,0,FALSE,FALSE,FALSE
ID094,2025-12-03,3814,110800,,43,43,3319,95,0,0,FALSE,FALSE,FALSE
ID094,2025-12-04,4346,112200,,46,46,3599,95,0,0,FALSE,FALSE,FALSE
ID094,2025-12-05,3689,113900,,34,34,3202,95,0,0,FALSE,FALSE,FALSE
ID094,2025-12-06,2867,113400,,35,35,2571,95,0,0,FALSE,FALSE,FALSE
ID094,2025-12-07,3883,113800,,36,36,3052,95,0,0,FALSE,FALSE,FALSE
ID094,2025-12-08,3470,115600,,27,27,3273,95,0,0,FALSE,FALSE,FALSE
ID094,2025-12-09,3934,116600,,35,35,3937,95,0,0,FALSE,FALSE,FALSE
ID094,2025-12-10,3149,117700,,31,31,3260,95,0,0,FALSE,FALSE,FALSE
ID094,2025-12-11,3460,122400,,39,39,2870,95,0,0,FALSE,FALSE,FALSE
ID094,2025-12-12,3472,122700,,33,33,2254,95,0,0,FALSE,FALSE,FALSE
ID094,2025-12-13,4572,124300,,45,0,0,95,0,45,FALSE,FALSE,FALSE
ID094,2025-12-14,387,124800,,8,0,0,95,0,8,FALSE,FALSE,FALSE
ID094,2025-12-15,2619,125400,,31,31,2507,95,0,0,FALSE,FALSE,FALSE
ID094,2025-12-16,1253,123300,,12,0,0,95,0,12,FALSE,FALSE,FALSE
ID094,2025-12-17,2238,122500,,16,16,1787,95,0,0,FALSE,FALSE,FALSE
ID094,2025-12-18,2431,123100,,13,13,2171,95,0,0,FALSE,FALSE,FALSE
ID094,2025-12-19,1133,124750,,12,0,0,95,0,12,FALSE,FALSE,FALSE
ID094,2025-12-20,3340,124300,,24,24,2816,95,0,0,FALSE,FALSE,FALSE
ID094,2025-12-21,3929,125200,,20,20,4052,95,0,0,FALSE,FALSE,FALSE
ID094,2025-12-22,3325,124600,,40,40,2953,95,0,0,FALSE,FALSE,FALSE
ID094,2025-12-23,4204,127400,,24,24,3195,95,0,0,FALSE,FALSE,FALSE
ID094,2025-12-24,3785,127000,,47,47,2912,95,0,0,FALSE,FALSE,FALSE
ID096,2025-09-19,525,,,3,0,0,101,3,3,FALSE,TRUE,FALSE
ID096,2025-09-20,948,29000,,10,0,0,101,0,10,FALSE,FALSE,FALSE
ID096,2025-09-21,1000,29350,,6,6,2520,101,6,0,FALSE,TRUE,FALSE
ID096,2025-09-22,1576,29700,,9,9,3525,101,0,0,FALSE,FALSE,FALSE
