animal_id,record_date,device_type,start_time,end_time,duration_sec,feed_g,daily_feed_g,weight_g,location,age_day,measurement_day
982091101529889,2023-05-09,NEDAP,2023-05-09T00:37:00Z,2023-05-09T00:41:55Z,295,167,2230,57000,1908,,66
982091101529889,2023-05-09,NEDAP,2023-05-09T06:12:00Z,2023-05-09T06:32:05Z,1205,735,2230,57000,1908,,66
982091101529889,2023-05-09,NEDAP,2023-05-09T06:53:00Z,2023-05-09T06:57:11Z,251,42,2230,57000,1908,,66
982091101529889,2023-05-09,NEDAP,2023-05-09T12:03:00Z,2023-05-09T12:21:23Z,1103,829,2230,58000,1908,,66
982091101529889,2023-05-09,NEDAP,2023-05-09T16:08:00Z,2023-05-09T16:22:11Z,851,457,2230,59000,1908,,66
982091101529889,2023-05-10,NEDAP,2023-05-10T03:04:00Z,2023-05-10T03:15:15Z,675,325,2750,59000,1908,,66
982091101529889,2023-05-10,NEDAP,2023-05-10T04:41:00Z,2023-05-10T04:55:01Z,841,400,2750,58000,1908,,66
982091101529889,2023-05-10,NEDAP,2023-05-10T08:07:00Z,2023-05-10T08:18:26Z,686,344,2750,58500,1908,,66
982091101529889,2023-05-10,NEDAP,2023-05-10T08:50:00Z,2023-05-10T08:52:07Z,127,101,2750,59000,1908,,66
982091101529889,2023-05-10,NEDAP,2023-05-10T10:38:00Z,2023-05-10T10:49:56Z,716,398,2750,59500,1908,,66
982091101529889,2023-05-10,NEDAP,2023-05-10T12:34:00Z,2023-05-10T12:43:28Z,568,402,2750,60000,1908,,66
982091101529889,2023-05-10,NEDAP,2023-05-10T13:51:00Z,2023-05-10T13:54:30Z,210,52,2750,59500,1908,,66
982091101529889,2023-05-10,NEDAP,2023-05-10T16:25:00Z,2023-05-10T16:35:19Z,619,329,2750,60500,1908,,66
982091101529889,2023-05-10,NEDAP,2023-05-10T18:32:00Z,2023-05-10T18:41:13Z,553,399,2750,60000,1908,,66
982091101529889,2023-05-11,NEDAP,2023-05-11T02:53:00Z,2023-05-11T03:06:25Z,805,493,2566,61000,1908,,66
982091101529889,2023-05-11,NEDAP,2023-05-11T05:21:00Z,2023-05-11T05:27:58Z,418,243,2566,61000,1908,,66
982091101529889,2023-05-11,NEDAP,2023-05-11T09:16:00Z,2023-05-11T09:30:39Z,879,526,2566,60500,1908,,66
982091101529889,2023-05-11,NEDAP,2023-05-11T12:03:00Z,2023-05-11T12:10:18Z,438,261,2566,60500,1908,,66
982091101529889,2023-05-11,NEDAP,2023-05-11T12:20:00Z,2023-05-11T12:22:19Z,139,96,2566,61500,1908,,66
982091101529889,2023-05-11,NEDAP,2023-05-11T14:16:00Z,2023-05-11T14:22:55Z,415,169,2566,61000,1908,,66
982091101529889,2023-05-11,NEDAP,2023-05-11T16:32:00Z,2023-05-11T16:47:15Z,915,554,2566,60500,1908,,66
982091101529889,2023-05-11,NEDAP,2023-05-11T18:35:00Z,2023-05-11T18:40:48Z,348,224,2566,61000,1908,,66
982091101529889,2023-05-12,NEDAP,2023-05-12T04:33:00Z,2023-05-12T04:48:59Z,959,528,2620,61500,1908,,66
982091101529889,2023-05-12,NEDAP,2023-05-12T07:26:00Z,2023-05-12T07:37:23Z,683,360,2620,61500,1908,,66
982091101529889,2023-05-12,NEDAP,2023-05-12T11:21:00Z,2023-05-12T11:28:49Z,469,382,2620,61500,1908,,66
982091101529889,2023-05-12,NEDAP,2023-05-12T11:53:00Z,2023-05-12T12:03:14Z,614,387,2620,61500,1908,,66
