animal_id,record_date,daily_feed_g,daily_weight_g,age_day,visits_n,visits_n_valid,total_duration_sec,location,n_outlier_wt,n_outlier_feed,has_feed_out_of_range_today,is_imputed_wt,is_imputed_feed,cum_feed,weight_kg,pred_cum_feed,pred_daily_feed
ID084,2025-12-25,2006,118180,,10,10,1729,93,0,0,FALSE,FALSE,FALSE,,,,
ID084,2025-12-26,342,119100,,1,1,369,93,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-09-12,367.42405151149,26614.2174290343,,7,5,612,91,7,2,FALSE,TRUE,FALSE,,,,
ID085,2025-09-13,1400.42405151149,26049.2147053404,,25,23,3835,91,15,2,FALSE,FALSE,FALSE,,,,
ID085,2025-09-14,1420,28714.9935707113,,19,19,3347,91,11,0,FALSE,FALSE,FALSE,,,,
ID085,2025-09-15,1331.42405151149,26683.0607433792,,16,15,3980,91,8,1,FALSE,FALSE,FALSE,,,,
ID085,2025-09-16,874.42405151149,27602.3890083842,,14,13,2675,91,0,1,FALSE,FALSE,FALSE,,,,
ID085,2025-09-17,1714.42405151149,29136.652793547,,24,23,4388,91,4,1,FALSE,FALSE,FALSE,,,,
ID085,2025-09-18,1327.42405151149,29234.1796912418,,11,10,3450,91,2,1,FALSE,FALSE,FALSE,,,,
ID085,2025-09-19,1077,28711.555657625,,15,15,4114,91,3,0,FALSE,FALSE,FALSE,,,,
ID085,2025-09-20,791,31829.057751734,,18,18,2470,91,1,0,FALSE,FALSE,FALSE,,,,
ID085,2025-09-21,985,32014.0703412231,,14,14,2931,91,2,0,FALSE,FALSE,FALSE,,,,
ID085,2025-09-22,1219,33360.9794069818,,17,17,3229,91,3,0,FALSE,FALSE,FALSE,,,,
ID085,2025-09-23,908,36213.963368155,,11,11,2521,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-09-24,1328,31878.3322579175,,5,5,2423,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-09-25,1148,35180.3197671,,9,9,2699,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-09-26,911,35006.0977488378,,8,8,1840,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-09-27,1571,38357.4101985921,,10,10,3696,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-09-28,1249,39143.3219486213,,7,7,2779,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-09-29,1225,36502.6081536415,,4,4,3252,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-09-30,791.42405151149,36146.0255226857,,12,11,1539,91,0,1,FALSE,FALSE,FALSE,,,,
ID085,2025-10-01,1681,41717.1657697647,,9,9,3384,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-10-02,1732,38810.4728096205,,7,7,3574,91,0,0,FALSE,FALSE,FALSE,,,,
ID085,2025-10-03,1117,39887.5007517527,,8,8,2232,91,0,0,FALSE,FALSE,FALSE,,,,
