device,pattern,arm,kind,span,degree,rate_realised,mean_span_pts,acc,bias,coverage,adfi_r,acc_affected,n_gap,n_loess,n_fallback,n_branch_loess,n_branch_fcr,n_branch_skip,n_fit_failed,n_na_days,runtime_s
FIRE,5d,prod,prod,0.3,2,0.0997931996344924,,0.965862063014342,-0.00435035950301794,1,0.991317065774073,0.667339028767186,2378,,,0,211,0,0,0,2.87021541595459
FIRE,5d,pure_s0.10_d1,pure,0.1,1,0.0997931996344924,8.87109004739336,0.972874628983435,-0.000698858372577643,1,0.995314195301712,0.735673767538679,2378,2338,40,211,0,0,0,0,0.392499446868897
FIRE,5d,pure_s0.10_d2,pure,0.1,2,0.0997931996344924,8.87109004739336,0.968622396034502,0.000233188886327026,1,0.992245827159522,0.694237404723471,2378,2338,40,211,0,0,0,0,0.41364312171936
FIRE,5d,pure_s0.20_d1,pure,0.2,1,0.0997931996344924,17.7421800947867,0.976588878330574,-0.00174667786139986,1,0.997322946950518,0.771867688563815,2378,2338,40,211,0,0,0,0,0.392444610595703
FIRE,5d,pure_s0.20_d2,pure,0.2,2,0.0997931996344924,17.7421800947867,0.976170804168583,-0.00131999601241639,1,0.997052091610904,0.76779371781293,2378,2338,40,211,0,0,0,0,0.382315874099731
FIRE,5d,pure_s0.30_d1,pure,0.3,1,0.0997931996344924,26.6132701421801,0.976704361002643,-0.0020643685682099,1,0.997347334012304,0.772993022466306,2378,2338,40,211,0,0,0,0,0.379562854766846
FIRE,5d,pure_s0.30_d2,pure,0.3,2,0.0997931996344924,26.6132701421801,0.976469516053229,-0.00105838381469487,1,0.997268332569778,0.770704549410835,2378,2338,40,211,0,0,0,0,0.400926828384399
FIRE,5d,pure_s0.50_d1,pure,0.5,1,0.0997931996344924,44.3554502369668,0.976241071724677,-0.00312645272104263,1,0.997024283369906,0.768478447926121,2378,2338,40,211,0,0,0,0,0.389584064483643
FIRE,5d,pure_s0.50_d2,pure,0.5,2,0.0997931996344924,44.3554502369668,0.976790414677692,-0.000993544235814058,1,0.997356172407452,0.77383158219333,2378,2338,40,211,0,0,0,0,0.395543575286865
FIRE,5d,pure_s0.75_d1,pure,0.75,1,0.0997931996344924,66.5331753554503,0.975645298252428,-0.00390778016265693,1,0.996749595677993,0.762672866235689,2378,2338,40,211,0,0,0,0,0.361556053161621
FIRE,5d,pure_s0.75_d2,pure,0.75,2,0.0997931996344924,66.5331753554503,0.976395021227748,-0.00207312711316486,1,0.997059974118351,0.769978626195061,2378,2338,40,211,0,0,0,0,0.409669399261475
FIRE,5d,pure_s1.00_d1,pure,1,1,0.0997931996344924,88.7109004739336,0.97494529577425,-0.00447119985623133,1,0.996476068470539,0.75585161325974,2378,2338,40,211,0,0,0,0,0.360456228256226
FIRE,5d,pure_s1.00_d2,pure,1,2,0.0997931996344924,88.7109004739336,0.976103780897322,-0.00259998221038268,1,0.996856064669485,0.767140601998632,2378,2338,40,211,0,0,0,0,0.375785350799561
