device,pattern,arm,kind,k,bs,family,span,degree,min_valid,rate_realised,acc,bias,coverage,adfi_r,acc_affected,n_interior,n_outward_days,acc_interior,acc_outward,n_na_days,n_gap,n_smooth,n_fallback,n_self_extrap,n_negative_pred,mean_edf,mean_span_pts,n_branch_gam,n_branch_fcr,n_branch_skip,n_fit_failed,runtime_s
FIRE,2d,gam_k6_tp_gauss,gam_pure,6,tp,gaussian,,,10,0.0999374789592651,0.977078035147532,-0.000465156733212572,1,0.998200096215712,0.772104094678527,2036,42,0.776156576992412,0.314726235672506,0,2381,2381,0,44,0,3.45926498524887,,211,0,0,0,6.31914043426514
FIRE,2d,loess_s0.30_d1,pure,,,,0.3,1,,0.0999374789592651,0.97635939852752,-0.000433579858229518,1,0.998099511693316,0.764959229734842,2036,42,0.77535345037781,-0.408170229073138,0,2381,2337,44,0,,,26.6090047393365,0,0,0,0,0.437407493591309
FIRE,2d,loess_s0.30_d2,pure,,,,0.3,2,,0.0999374789592651,0.976343085753522,0.000117112428085537,1,0.998058454866019,0.76479704405737,2036,42,0.775142746984535,-0.402856529291086,0,2381,2337,44,0,,,26.6090047393365,0,0,0,0,0.432692766189575
FIRE,2d,loess_s0.50_d1,pure,,,,0.5,1,,0.0999374789592651,0.976054698198855,-0.0010893213893971,1,0.998026930091555,0.761929822888625,2036,42,0.772333943892002,-0.412317026520111,0,2381,2337,44,0,,,44.3483412322275,0,0,0,0,0.413561344146729
FIRE,2d,loess_s0.50_d2,pure,,,,0.5,2,,0.0999374789592651,0.976263679723916,0.000372009883859109,1,0.998051331672389,0.764007569458593,2036,42,0.774387823375389,-0.407545553953172,0,2381,2337,44,0,,,44.3483412322275,0,0,0,0,0.427711486816406
FIRE,2d,loess_s0.75_d1,pure,,,,0.75,1,,0.0999374789592651,0.975418963177953,-0.00161426725699387,1,0.997907140565845,0.755609186369661,2036,42,0.765970190536804,-0.413771340445559,0,2381,2337,44,0,,,66.5225118483413,0,0,0,0,0.418484210968018
FIRE,2d,loess_s0.75_d2,pure,,,,0.75,2,,0.0999374789592651,0.976197483712772,-0.000241927576870784,1,0.998055672974762,0.763349432166035,2036,42,0.77373035199413,-0.408278848411314,0,2381,2337,44,0,,,66.5225118483413,0,0,0,0,0.426709890365601
FIRE,2d,loess_s1.00_d1,pure,,,,1,1,,0.0999374789592651,0.974608824222543,-0.00192520031616977,1,0.997809345695462,0.747554582330792,2036,42,0.757857313679331,-0.415249062724882,0,2381,2337,44,0,,,88.696682464455,0,0,0,0,0.411077260971069
FIRE,2d,loess_s1.00_d2,pure,,,,1,2,,0.0999374789592651,0.975960963826577,-0.000520035224397747,1,0.997960340634654,0.760997892324753,2036,42,0.771433078661655,-0.416755103351009,0,2381,2337,44,0,,,88.696682464455,0,0,0,0,0.421682357788086
FIRE,2d,nofill,nofill,,,,,,,0.0999374789592651,0.899419145683489,-0.100580854316511,0.900062521040735,0.995327248630629,0,2036,42,0,0,2078,2381,,0,0,0,,,0,0,0,0,0.0138454437255859
FIRE,2d,pop_k6_cr,gam_pop,6,cr,gaussian,,,10,0.0999374789592651,0.974391428038092,-0.000566381152203673,1,0.997718624782571,0.745393175113399,2036,42,0.748177462233861,0.43114842748026,0,2381,2381,0,44,3,4.97134064841705,,211,0,0,0,1.450199842453
FIRE,2d,pop_k6_cr_mv6,gam_pop,6,cr,gaussian,,,6,0.0999374789592651,0.974391428038092,-0.000566381152203673,1,0.997718624782571,0.745393175113399,2036,42,0.748177462233861,0.43114842748026,0,2381,2381,0,44,3,4.97134064841705,,211,0,0,0,2.47426390647888
FIRE,2d,router_k6_cr,gam_router,6,cr,gaussian,,,10,0.0999374789592651,0.976285140180623,-0.000499647390925133,1,0.998051386034729,0.764220934684545,2036,42,0.768802603861177,0.247117126112209,0,2381,2187,0,44,0,3.50890381004274,,197,14,0,0,6.42773175239563
FIRE,5d,gam_k15_cr_gamma,gam_pure,15,cr,Gamma,,,10,0.0997931996344924,0.976893247302738,-0.00189445131762649,1,0.997252224603178,0.774833646288086,2035,40,0.777215969579886,0.562412589249381,0,2378,2378,0,40,0,4.5012289693514,,211,0,0,0,7.52677249908447
FIRE,5d,gam_k15_cr_gauss,gam_pure,15,cr,gaussian,,,10,0.0997931996344924,0.977191608894936,-0.00145499442668352,1,0.997414491665263,0.777741064421784,2035,40,0.780593465321032,0.523405300589091,0,2378,2378,0,40,1,4.54512648663738,,211,0,0,0,6.03066396713257
FIRE,5d,gam_k15_ps_gauss,gam_pure,15,ps,gaussian,,,10,0.0997931996344924,0.977229678705083,-0.00158604258083317,1,0.997442802419203,0.778112039973801,2035,40,0.780955383273598,0.524583901561336,0,2378,2378,0,40,1,4.1124610499819,,211,0,0,0,6.26859855651856
FIRE,5d,gam_k15_tp_gauss,gam_pure,15,tp,gaussian,,,10,0.0997931996344924,0.977244704140081,-0.00138345842045411,1,0.997450682025092,0.778258457017164,2035,40,0.781108008110573,0.524176797558425,0,2378,2378,0,40,0,4.36455412745666,,211,0,0,0,6.46206045150757
FIRE,5d,gam_k3_cr_gauss,gam_pure,3,cr,gaussian,,,10,0.0997931996344924,0.976186870386126,-0.00280202448367523,1,0.996930399152906,0.767950276878995,2035,40,0.770849329778751,0.509454763907694,0,2378,2378,0,40,6,1.79426985742015,,211,0,0,0,7.48856091499329
FIRE,5d,gam_k3_ps_gauss,gam_pure,3,ps,gaussian,,,10,0.0997931996344924,0.965771760561554,-0.00420634767095442,1,0.991165478000935,0.666459066347018,2035,40,0.672988845211467,0.0842280427956302,0,2378,0,2378,40,0,,,0,0,0,211,0.91230320930481
FIRE,5d,gam_k3_tp_gauss,gam_pure,3,tp,gaussian,,,10,0.0997931996344924,0.976210092172871,-0.00272179288966067,1,0.996934960247571,0.768176564194934,2035,40,0.771091648681601,0.50825158669653,0,2378,2378,0,40,6,1.79404018258632,,211,0,0,0,6.8353283405304
FIRE,5d,gam_k6_cr_gamma,gam_pure,6,cr,Gamma,,,10,0.0997931996344924,0.976617491542163,-0.00236816962259183,1,0.997206143865114,0.772146513226287,2035,40,0.77439206353642,0.571920888033404,0,2378,2378,0,40,0,3.46822838952246,,211,0,0,0,6.56106281280518
FIRE,5d,gam_k6_cr_gauss,gam_pure,6,cr,gaussian,,,10,0.0997931996344924,0.977078358703906,-0.00195380697794926,1,0.997437523317066,0.776637485182175,2035,40,0.779230631436341,0.545418292446408,0,2378,2378,0,40,0,3.44661204451662,,211,0,0,0,5.16741943359375
FIRE,5d,gam_k6_ps_gauss,gam_pure,6,ps,gaussian,,,10,0.0997931996344924,0.976914262084587,-0.00198662997046526,1,0.997303145492236,0.775038427196294,2035,40,0.777725605116985,0.535434853521431,0,2378,2378,0,40,1,2.91611306100641,,211,0,0,0,6.00049948692322
FIRE,5d,gam_k6_tp_gauss,gam_pure,6,tp,gaussian,,,10,0.0997931996344924,0.977070428745283,-0.00193802790975377,1,0.99741019353385,0.776560210807381,2035,40,0.779249460004411,0.536771950733815,0,2378,2378,0,40,0,3.41518394347497,,211,0,0,0,6.31163382530212
FIRE,5d,loess_s0.30_d1,pure,,,,0.3,1,,0.0997931996344924,0.976704361002643,-0.0020643685682099,1,0.997347334012304,0.772993022466306,2035,40,0.780591485488368,0.0954722373690841,0,2378,2338,40,0,,,26.6132701421801,0,0,0,0,0.406984806060791
FIRE,5d,loess_s0.30_d2,pure,,,,0.3,2,,0.0997931996344924,0.976469516053229,-0.00105838381469487,1,0.997268332569778,0.770704549410835,2035,40,0.778226641047261,0.0999934574060676,0,2378,2338,40,0,,,26.6132701421801,0,0,0,0,0.412961721420288
FIRE,5d,loess_s0.50_d1,pure,,,,0.5,1,,0.0997931996344924,0.976241071724677,-0.00312645272104263,1,0.997024283369906,0.768478447926121,2035,40,0.776029969902207,0.0951431848523024,0,2378,2338,40,0,,,44.3554502369668,0,0,0,0,0.386679887771606
FIRE,5d,loess_s0.50_d2,pure,,,,0.5,2,,0.0997931996344924,0.976790414677692,-0.000993544235814058,1,0.997356172407452,0.77383158219333,2035,40,0.781410704153368,0.098035352639639,0,2378,2338,40,0,,,44.3554502369668,0,0,0,0,0.400906085968018
FIRE,5d,loess_s0.75_d1,pure,,,,0.75,1,,0.0997931996344924,0.975645298252428,-0.00390778016265693,1,0.996749595677993,0.762672866235689,2035,40,0.77016402277978,0.0947201173307259,0,2378,2338,40,0,,,66.5331753554503,0,0,0,0,0.417726755142212
FIRE,5d,loess_s0.75_d2,pure,,,,0.75,2,,0.0997931996344924,0.976395021227748,-0.00207312711316486,1,0.997059974118351,0.769978626195061,2035,40,0.777542228075357,0.0955662523738788,0,2378,2338,40,0,,,66.5331753554503,0,0,0,0,0.391414880752564
FIRE,5d,loess_s1.00_d1,pure,,,,1,1,,0.0997931996344924,0.97494529577425,-0.00447119985623133,1,0.996476068470539,0.75585161325974,2035,40,0.763268362719641,0.0945334095188569,0,2378,2338,40,0,,,88.7109004739336,0,0,0,0,0.406686544418335
FIRE,5d,loess_s1.00_d2,pure,,,,1,2,,0.0997931996344924,0.976103780897322,-0.00259998221038268,1,0.996856064669485,0.767140601998632,2035,40,0.77468186464387,0.0947201173307259,0,2378,2338,40,0,,,88.7109004739336,0,0,0,0,0.418906927108765
FIRE,5d,nofill,nofill,,,,,,,0.0997931996344924,0.897379194021033,-0.102620805978968,0.900206800365508,0.989671438589303,0,2035,40,0,0,2075,2378,,0,0,0,,,0,0,0,0,0.0133345127105713
