device,pattern,arm,kind,span,degree,rate_realised,mean_span_pts,acc,bias,coverage,adfi_r,acc_affected,n_gap,n_loess,n_fallback,n_branch_loess,n_branch_fcr,n_branch_skip,n_fit_failed,n_na_days,runtime_s
NEDAP,boundary,pure_s0.75_d1,pure,0.75,1,0.0998563218390805,44.75,0.967555126569701,0.0170831361244613,1,0.991606811648865,0.617954694495642,279,1,278,42,0,0,0,0,0.0930004119873047
NEDAP,boundary,pure_s0.75_d2,pure,0.75,2,0.0998563218390805,44.75,0.967555126569701,0.0170831361244613,1,0.991606811648865,0.617954694495642,279,1,278,42,0,0,0,0,0.0812926292419434
NEDAP,boundary,pure_s1.00_d1,pure,1,1,0.0998563218390805,59.6666666666667,0.967555126569701,0.0170831361244613,1,0.991606811648865,0.617954694495642,279,1,278,42,0,0,0,0,0.0928323268890381
NEDAP,boundary,pure_s1.00_d2,pure,1,2,0.0998563218390805,59.6666666666667,0.967555126569701,0.0170831361244613,1,0.991606811648865,0.617954694495642,279,1,278,42,0,0,0,0,0.0839424133300781
NEDAP,boundary,raw_zero_s0.30_d2,raw_zero,0.3,2,0.0998563218390805,19.8,0.915075848432513,-0.0849241515674867,1,0.994655260598435,0,1,1,0,1,0,0,0,0,0.00777745246887207
NEDAP,random,prod,prod,0.3,2,0.0998563218390805,17.9926829268293,0.980679314704379,0.00324795999859144,1,0.989230206836804,0.798622049622579,279,,,41,1,0,0,0,0.187409639358521
NEDAP,random,pure_s0.10_d1,pure,0.1,1,0.0998563218390805,5.96666666666667,0.980765283575992,0.00139295495972167,1,0.991180273799343,0.799518096263624,279,268,11,42,0,0,0,0,0.185701608657837
NEDAP,random,pure_s0.10_d2,pure,0.1,2,0.0998563218390805,5.96666666666667,0.978518645248714,0.00161355372503878,1,0.989899900412585,0.776101565500648,279,268,11,42,0,0,0,0,0.0947265625
NEDAP,random,pure_s0.20_d1,pure,0.2,1,0.0998563218390805,11.9333333333333,0.981698242389884,0.00226723870904537,1,0.99178407628611,0.809242251015561,279,268,11,42,0,0,0,0,0.0858135223388672
NEDAP,random,pure_s0.20_d2,pure,0.2,2,0.0998563218390805,11.9333333333333,0.981408018324216,0.00189890626601258,1,0.991784037171902,0.80621726889923,279,268,11,42,0,0,0,0,0.0901923179626465
NEDAP,random,pure_s0.30_d1,pure,0.3,1,0.0998563218390805,17.9,0.981892020870212,0.00241870695898526,1,0.991653300222301,0.811261988545494,279,268,11,42,0,0,0,0,0.0779144763946533
NEDAP,random,pure_s0.30_d2,pure,0.3,2,0.0998563218390805,17.9,0.98146002578003,0.00243727599057744,1,0.991761996405568,0.806759338432264,279,268,11,42,0,0,0,0,0.0887365341186523
NEDAP,random,pure_s0.50_d1,pure,0.5,1,0.0998563218390805,29.8333333333333,0.981933867904248,0.0024408945039422,1,0.991485420989609,0.811698156818748,279,268,11,42,0,0,0,0,0.0858194828033447
NEDAP,random,pure_s0.50_d2,pure,0.5,2,0.0998563218390805,29.8333333333333,0.981812285517818,0.00273948552904106,1,0.991334129297521,0.8104309133744,279,268,11,42,0,0,0,0,0.100542545318604
NEDAP,random,pure_s0.75_d1,pure,0.75,1,0.0998563218390805,44.75,0.981756277704451,0.00228674393326068,1,0.991603908585523,0.809847148436025,279,268,11,42,0,0,0,0,0.0752837657928467
NEDAP,random,pure_s0.75_d2,pure,0.75,2,0.0998563218390805,44.75,0.981806092755648,0.00284654056716975,1,0.991347000594621,0.810366366711902,279,268,11,42,0,0,0,0,0.0883512496948242
NEDAP,random,pure_s1.00_d1,pure,1,1,0.0998563218390805,59.6666666666667,0.981627260605117,0.00212598064736817,1,0.991584601341587,0.808502413576472,279,268,11,42,0,0,0,0,0.0779445171356201
NEDAP,random,pure_s1.00_d2,pure,1,2,0.0998563218390805,59.6666666666667,0.981744145074092,0.00299110158020055,1,0.991473072750967,0.809720691004672,279,268,11,42,0,0,0,0,0.0846383571624756
NEDAP,random,raw_zero_s0.30_d2,raw_zero,0.3,2,0.0998563218390805,19.8,0.904057592902249,-0.0959424070977509,1,0.904102385142126,0,1,1,0,1,0,0,0,0,0.00835561752319336
