device,pattern,arm,kind,k,bs,family,span,degree,min_valid,rate_realised,acc,bias,coverage,adfi_r,acc_affected,n_interior,n_outward_days,acc_interior,acc_outward,n_na_days,n_gap,n_smooth,n_fallback,n_self_extrap,n_negative_pred,mean_edf,mean_span_pts,n_branch_gam,n_branch_fcr,n_branch_skip,n_fit_failed,runtime_s
NEDAP,14d,loess_s0.50_d2,pure,,,,0.5,2,,0.0955459770114943,0.984591478531512,0.00100020034009495,1,0.987078065139773,0.834318459484102,266,0,0.834318459484102,,0,267,267,0,0,,,26.125,0,0,0,0,0.0578262805938721
NEDAP,14d,loess_s0.75_d1,pure,,,,0.75,1,,0.0955459770114943,0.985140787392422,-0.00000840419726221768,1,0.990947896163868,0.840224953399223,266,0,0.840224953399223,,0,267,267,0,0,,,39.1875,0,0,0,0,0.049835205078125
NEDAP,14d,loess_s0.75_d2,pure,,,,0.75,2,,0.0955459770114943,0.984953054626314,0.0011005063680948,1,0.988278305196075,0.838206339610886,266,0,0.838206339610886,,0,267,267,0,0,,,39.1875,0,0,0,0,0.0499467849731445
NEDAP,14d,loess_s1.00_d1,pure,,,,1,1,,0.0955459770114943,0.985192158777622,-0.00108575685013283,1,0.992206240500381,0.840777328930886,266,0,0.840777328930886,,0,267,267,0,0,,,52.25,0,0,0,0,0.0498495101928711
NEDAP,14d,loess_s1.00_d2,pure,,,,1,2,,0.0955459770114943,0.985176406022252,0.00133994873108219,1,0.989602043435615,0.840607945983766,266,0,0.840607945983766,,0,267,267,0,0,,,52.25,0,0,0,0,0.0510296821594238
NEDAP,14d,nofill,nofill,,,,,,,0.0955459770114943,0.906999165866584,-0.0930008341334157,0.904454022988506,0.631932443211862,0,266,0,0,,266,267,,0,0,0,,,0,0,0,0,0.00858449935913086
NEDAP,14d,pop_k6_cr,gam_pop,6,cr,gaussian,,,10,0.0955459770114943,0.985857354470136,0.00251180307408711,1,0.993257306340681,0.847929906633139,266,0,0.847929906633139,,0,267,267,0,0,0,4.48844013038769,,20,0,0,0,0.139133453369141
NEDAP,14d,pop_k6_cr_mv6,gam_pop,6,cr,gaussian,,,6,0.0955459770114943,0.985857354470136,0.00251180307408711,1,0.993257306340681,0.847929906633139,266,0,0.847929906633139,,0,267,267,0,0,0,4.48844013038769,,20,0,0,0,0.358863830566406
NEDAP,14d,router_k6_cr,gam_router,6,cr,gaussian,,,10,0.0955459770114943,0.979387115935237,0.00373413156969265,1,0.955875066488363,0.778358073270693,266,0,0.778358073270693,,0,267,1,0,0,0,1.00040474866181,,1,19,0,0,0.319460391998291
NEDAP,2d,gam_k15_cr_gamma,gam_pure,15,cr,Gamma,,,10,0.0998563218390805,0.981942272467158,0.00217137234294846,1,0.993779617572634,0.815983126257233,274,4,0.819074590190316,0.620740561480576,0,279,279,0,4,0,2.46751180818111,,42,0,0,0,1.61411118507385
