animal_id,start_date,end_date,test_days,start_weight_g,end_weight_g,total_feed_g,AGE,ADG_g,ADFI_g,FCR,stage_label,stage_min,stage_max
ID048,2025-12-23,2026-04-01,100,37373.6265289158,111617.565914584,230016.449075394,184,798.32192887815,2300.16449075394,3.09811751610524,30-115kg,30,115
ID049,2025-12-23,2026-03-11,79,39501.3605277985,111221.2,240854.850333826,166,989.239165133814,3048.79557384589,3.35827369534451,30-115kg,30,115
ID055,2025-12-23,2026-03-22,90,38673.9961510754,111800.5,199169.892166548,177,875.766513160774,2212.99880185053,2.72363482025644,30-115kg,30,115
ID060,2025-12-27,2026-04-16,111,30983,114590.304180715,248802.099167607,195,792.486295551803,2241.46035286133,2.97584166366407,30-115kg,30,115
ID062,2025-12-23,2026-04-18,117,30706.9090530634,111221.280718681,239982.27286628,196,731.9488333238,2051.13053731864,2.98061411772477,30-115kg,30,115
ID063,2025-12-23,2026-03-25,93,31308.8802898318,110738.70624786,247953.684562309,179,912.98650526469,2666.16865120763,3.12166974523313,30-115kg,30,115
ID064,2025-12-23,2026-03-27,95,34346.0373914784,110040.535738892,187765.869292086,175,850.499981431609,1976.48283465354,2.48057485539176,30-115kg,30,115
ID066,2025-12-23,2026-04-05,104,35922.2072484716,112894.445449106,230752.057663942,184,785.431002047286,2218.76978523021,2.99786082694477,30-115kg,30,115
ID067,2025-12-23,2026-03-23,91,35536.0294301348,113636.969370296,238702.684658609,170,924.271478581792,2623.10642481988,3.05633561953922,30-115kg,30,115
ID068,2026-01-03,2026-04-10,98,35210.1875,110983.315789474,215910.286717459,191,832.671739444766,2203.16619099447,2.84943081527033,30-115kg,30,115
ID069,2025-12-23,2026-04-02,101,35688,113671.76563421,236925.319484427,187,834.050969349837,2345.79524242007,3.03813643208443,30-115kg,30,115
ID071,2025-12-23,2026-03-19,87,44147.3111554803,114450.985670805,205929.719710018,173,862.621773194173,2367.00827252894,2.92914589642293,30-115kg,30,115
ID072,2026-01-01,2026-03-28,87,34181.7736782541,113467.58079834,234009.331329807,169,984.91685863461,2689.76242907824,2.95146558797562,30-115kg,30,115
ID075,2025-12-24,2026-03-11,78,40767.375,112399.085261939,173927.523158749,163,1001.84210156558,2229.84004049678,2.42808000147896,30-115kg,30,115
ID077,2025-12-24,2026-04-09,107,34106.6246573647,113146.924659126,222168.22844612,188,782.57722774021,2076.3385836086,2.81082218110469,30-115kg,30,115
